1	1.512
2	2.412
3	2.454
4	2.25
5	2.678
6	2.31
7	2.186
8	2.176
9	2.28
10	2.322
11	2.426
12	2.296
13	2.478
14	2.85
15	1.886
16	2.158
17	2.514
18	2.626
19	2.41
20	1.942
21	2.26
22	2.542
23	2.482
24	2.264
25	1.802
26	2.252
27	2.512
28	2.366
29	2.132
30	2.526
31	2.298
32	2.634
33	2.288
34	2.26
35	2.442
36	2.502
37	2.128
38	0.969
39	2.388
40	2.562
41	2.258
42	2.36
43	2.314
44	2.286
45	1.932
46	1.309
47	2.45
48	1.996
49	2.506
50	1.87
51	2.368
52	2.484
53	2.112
54	2.336
55	2.486
56	2.59
57	2.292
58	2.182
59	2.244
60	2.66
61	2.3
62	2.252
63	2.208
64	2.304
65	2.066
66	2.04
67	2.294
68	2.036
69	2.046
70	2.446
71	2.338
72	2.344
73	2.152
74	2.164
75	2.162
76	2.084
77	1.982
78	2.054
79	2.552
80	2.354
81	2.248
82	2.424
83	2.45
84	1.976
85	2.272
86	2.218
87	2.25
88	2.36
89	2.5
90	2.144
91	2.406
92	2.296
93	2.062
94	2.24
95	1.98
96	2.294
97	2.352
98	2.488
99	2.228
100	2.392
101	2.3
102	2.162
103	2.576
104	2.428
105	2.062
106	2.23
107	2.166
108	2.396
109	2.21
110	2.344
111	2.544
112	2.368
113	2.342
114	2.34
115	2.364
116	2.31
117	2.34
118	2.552
119	1.638
120	2.616
121	2.452
122	2.264
123	2.442
124	2.04
125	1.516
126	2.318
127	1.884
128	2.27
129	2.198
130	2.85
131	2.23
132	2.118
133	2.496
134	2.062
135	2.582
136	2.22
137	2.372
138	2.202
139	2.658
140	1.054
141	2.254
142	2.446
143	1.19
144	2.56
145	2.344
146	1.836
147	1.606
148	1.834
149	2.438
150	2.512
151	2.85
152	2.038
153	2.136
154	2.442
155	2.408
156	2.858
157	2.042
158	2.308
159	2.542
160	2.314
161	2.752
162	1.528
163	2.222
164	2.692
165	2.522
166	2.406
167	1.424
168	2.634
169	2.514
170	2.088
171	2.424
172	2.296
173	2.814
174	2.42
175	2.51
176	2.09
177	2.468
178	1.395
179	2.47
180	2.4
181	2.52
182	2.284
183	2.438
184	2.092
185	1.514
186	2.478
187	2.712
188	2.418
189	2.796
190	2.332
191	2.406
192	2.338
193	2.352
194	2.206
195	2.618
196	2.196
197	2.208
198	2.07
199	1.451
200	1.89
201	2.864
202	2.164
203	2.326
204	2.474
205	2.446
206	2.472
207	2.05
208	2.154
209	2.502
210	2.17
211	2.562
212	2.512
213	2.348
214	1.658
215	2.268
216	1.862
217	2.28
218	1.974
219	2.554
220	2.664
221	2.354
222	2.662
223	2.22
224	2.294
225	2.612
226	1.212
227	2.346
228	2.354
229	2.822
230	2.396
231	2.382
232	1.906
233	2.628
234	1.756
235	2.894
236	2.398
237	2.822
238	1.814
239	2.422
240	2.106
241	2.386
242	2.28
243	1.446
244	2.358
245	2.282
246	2.188
247	2.07
248	2.27
249	2.156
250	2.238
251	2.226
252	2.302
253	2.358
254	2.632
255	2.466
256	2.464
257	1.962
258	1.303
259	2.214
260	1.864
261	2.224
262	2.548
263	2.762
264	2.086
265	2.61
266	2.73
267	2.43
268	2.19
269	1.944
270	2.372
271	2.458
272	2.444
273	2.708
274	2.592
275	2.164
276	1.684
277	2.206
278	2.384
279	1.888
280	2.84
281	2.64
282	2.192
283	2.45
284	1.984
285	2.308
286	2.202
287	2.284
288	2.444
289	2.912
290	2.232
291	2.416
292	2.092
293	2.346
294	2.43
295	2.498
296	2.764
297	2.07
298	2.312
299	2.426
300	2.61
